,Unnamed: 0,gamma5,gamma6,gamma7,gamma8,gamma9,gamma10,gamma11,gamma12,gamma13,gamma14,gamma15,gamma16,gamma17,gamma18,gamma19,gamma20,gamma21,gamma22,gamma23,gamma24,gamma25,gamma26,gamma27,gamma28,gamma29,gamma30,Unnamed: 0.1,gamma31,gamma32,gamma33,gamma34,gamma35,gamma36,gamma37,gamma38,gamma39,gamma40,gamma41,gamma42,gamma43,gamma44,gamma45,gamma46,gamma47,gamma48,gamma49,gamma50,gamma51,gamma52,gamma53,gamma54,gamma55,gamma56,gamma57,gamma58,gamma59,gamma60,gamma61,gamma62,gamma63,gamma64,gamma65,gamma66,gamma67,gamma68,gamma69,gamma70,gamma71,gamma72,gamma73,gamma74,gamma75,gamma76,gamma77,gamma78,gamma79,gamma80,gamma81,gamma82,gamma83,gamma84,gamma85,gamma86,gamma87,gamma88,gamma89,gamma90,gamma91,gamma92,gamma93,gamma94,gamma95,gamma96,gamma97,gamma98,gamma99,gamma100,gamma101,gamma102,gamma103,gamma104,gamma105,gamma106,gamma107,gamma108,gamma109,gamma110,gamma111,gamma112,gamma113,gamma114,gamma115,gamma116,gamma117,gamma118,gamma119,gamma120,gamma121,gamma122,gamma123,gamma124,gamma125,gamma126,gamma127,gamma128,gamma129,gamma130,gamma131,gamma132,gamma133,gamma134,gamma135,gamma136,gamma137,gamma138,gamma139,gamma140,gamma141,gamma142,gamma143,gamma144,gamma145,gamma146,gamma147,gamma148,gamma149,gamma150
0,10.0,0.3751712454899981,0.3207278100850377,0.2766135796700802,0.2404452906209077,0.2104416671207056,0.1853004479898511,0.1640427172801714,0.1459135210149548,0.1303392693908433,0.1168703112000782,0.1051536892733902,0.0949081324306624,0.0859046712257858,0.0779584758221201,0.0709179694684255,0.0646582946800585,0.059072978561298,0.0540742691392932,0.0495866866393223,0.0455458653332429,0.0418984401913511,0.0385989215131641,0.0356079024192997,0.0328911698819195,0.030419012153283,0.0281654712497112,10.0,0.0261078667175059,0.0242261905967509,0.0225028851385536,0.0209224056450829,0.019470960867705,0.0181362852155702,0.0169075815346578,0.015775056343261,0.014729986350801,0.0137645923923563,0.0128719218262983,0.0120456224532375,0.0112800597718305,0.0105701527814142,0.0099112395029458,0.0092991447023374,0.0087301302117304,0.0082007328495394,0.0077078056298497,0.0072484833089803,0.0068201667431667,0.0064204826311271,0.0060472895578727,0.0056985952426603,0.0053726113171865,0.0050676984020736,0.0047822745260592,0.0045149133609145,0.0042643259155854,0.0040293543539571,0.0038089297413098,0.0036020125636695,0.0034076644421666,0.003225047212249,0.0030533514976454,0.0028918490510947,0.0027398823620984,0.0025968411829582,0.0024621150351794,0.0023351435913017,0.0022154356781914,0.0021025607037848,0.0019960726705879,0.0018955738899368,0.0018006801120719,0.0017110587299593,0.0016263902318817,0.0015463600275226,0.0014706757524749,0.0013990875782595,0.0013313478004699,0.0012672299164842,0.0012065225937095,0.0011490139499863,0.0010945315616642,0.001042901799196,0.0009939536171512,0.0009475342260865,0.0009034902198577,0.000861687679594,0.0008220110428883,0.0007843429315913,0.0007485692798134,0.0007145928143634,0.0006823070048319,0.0006516205708468,0.0006224437935211,0.0005946920001714,0.0005682921981951,0.0005431743434972,0.0005192702790501,0.0004965165333956,0.0004748518428724,0.0004542161066642,0.0004345565431239,0.0004158245823458,0.0003979747518276,0.000380960326057,0.0003647407985504,0.00034927388801,0.0003345214937393,0.0003204467720563,0.0003070171525302,0.0002942012023037,0.0002819653920109,0.0002702838110212,0.0002591275969538,0.0002484710305593,0.0002382921913422,0.0002285653813623,0.0002192696050089,0.0002103841863491,0.0002018891353666,0.0001937655575915,0.0001859959504922,0.0001785640257156,0.0001714547779774,0.0001646530537673,0.0001581435960707,0.000151913774837,0.0001459499885868,0.0001402396504776,0.0001347700201179,0.000129530491018,0.0001245116716382,0.0001197019120315,0.0001150924019619,0.0001106740676879,0.0001064391291568,0.0001023788743166,9.848517133825548e-05,9.47513994659779e-05,9.116993130415938e-05,8.773462845189554e-05,8.443837944388725e-05,8.127499245232935e-05,7.823880756290177e-05,7.532423651514453e-05,7.252625563245546e-05,6.983984115682865e-05
1,20.0,0.3899005000194464,0.3358525611302506,0.2918467430891689,0.2555935343847951,0.2253713592904088,0.1999209307246481,0.1782940105213594,0.1597557518283347,0.1437486616286518,0.1298316703856481,0.1176609679252645,0.106960836088983,0.0975066554671746,0.089117548932655,0.0816437991074553,0.0749620433883427,0.0689668391254,0.0635713294254902,0.0587002782586557,0.0542892153249475,0.0502848319432737,0.0466417540550437,0.0433203884037677,0.0402863261259991,0.0375095621311818,0.0349638180022039,20.0,0.0326260597101324,0.030475895202014,0.0284953868453954,0.0266685753650847,0.0249812854003298,0.0234208250593613,0.0219760290854476,0.0206367123496423,0.0193937395672361,0.0182389578958604,0.0171650566751988,0.0161653113296667,0.0152337622741102,0.0143650431636268,0.013554152473838,0.012796604851922,0.0120884006044107,0.0114257656379276,0.0108052959185322,0.0102238611128421,0.0096786255076667,0.0091669953579368,0.0086866036837294,0.0082352270839663,0.0078108989244779,0.0074117902633635,0.0070361125132643,0.0066822606860218,0.0063487817983592,0.0060343565771873,0.0057378047506812,0.0054579098145612,0.0051935862865014,0.0049438688743962,0.0047078100064029,0.004484557021814,0.0042733489811934,0.0040734869421317,0.003884233799291,0.0037049100152463,0.0035349267804453,0.0033737968517964,0.0032209581379787,0.0030759381176279,0.0029382712313199,0.002807577196299,0.0026834541611265,0.0025655161224523,0.0024533920977765,0.002346782290151,0.0022453779669907,0.0021488971683699,0.002057067417702,0.0019696202060577,0.0018863580973672,0.0018070536445308,0.0017314811012612,0.0016594476514144,0.0015907460807764,0.0015252063373585,0.0014626797186398,0.0014030139190878,0.0013460615312082,0.0012917023147167,0.001239788874753,0.0011901995528952,0.0011428128252367,0.0010975127923715,0.0010542005382195,0.0010127852630041,0.0009731739915432,0.0009352845519377,0.0008990317370868,0.0008643296044642,0.0008311035645549,0.0007992890550922,0.0007688237220085,0.0007396400177191,0.0007116819011584,0.0006848916118004,0.0006592170474394,0.000634603693966,0.0006110084786389,0.0005883890353834,0.0005666902895457,0.0005458770598588,0.0005259053049873,0.0005067374341037,0.0004883457440472,0.0004706870911145,0.0004537329508274,0.0004374518975215,0.0004218121831316,0.0004067847160822,0.000392343689345,0.000378465921807,0.0003651289960775,0.0003523098686687,0.0003399845657449,0.0003281345742696,0.0003167387452487,0.0003057765949768,0.0002952277975667,0.0002850762325059,0.0002753074721383,0.0002659023402978,0.0002568474668495,0.0002481285507251,0.0002397331421244,0.0002316469276534,0.0002238570786242,0.0002163543064973,0.000209125327927,0.0002021610830543,0.0001954485963342,0.0001889775258835,0.0001827385489931,0.0001767224669421,0.0001709210453826,0.0001653265563811
2,30.000000000000007,0.4143448966761855,0.3610764793408588,0.3173757062125595,0.2811036931505909,0.2506356132066626,0.22478175403167283,0.20264459418671552,0.18352118057018052,0.16688070897720902,0.15229761366904554,0.13944315035566013,0.12805126613566112,0.11790493218127542,0.10882997031290362,0.10068022195519431,0.09333540295048272,0.08669211271762392,0.08066520104857632,0.07518032106246711,0.07017315062259231,0.06559084160674782,0.061388507893839706,0.057526562547055106,0.05397052230729911,0.050690166915566104,0.047658925308823506,30.000000000000007,0.04485340881260911,0.04225279508059761,0.03983871207104991,0.03759469861256981,0.03550610197034411,0.03355967864110611,0.03174381503064361,0.030047793237628306,0.028461911198090807,0.026977509855855605,0.025586790401350007,0.024282499535856008,0.023058218201786808,0.021908199485484607,0.020826945445296605,0.019809525959718105,0.018851562904659003,0.017948800117945703,0.017097480614567902,0.016294090075724105,0.015535441482229503,0.014818601298667303,0.014140901169627603,0.013499740818007203,0.012892901080612203,0.012318253907569503,0.011773677495323804,0.011257302293208604,0.010767419547051203,0.010302462182700603,0.009861088550759104,0.009441805170256603,0.009043283952699304,0.008664355057906803,0.008303857041354104,0.007960729363337402,0.007634053219142302,0.007323015848853503,0.007026653465227603,0.006744081035138903,0.006474549622254203,0.006217492163773201,0.005972148538219401,0.0057379185061074015,0.005514203203391502,0.005300559865134502,0.005096440343075802,0.004901339431036602,0.004714751591254002,0.004536301825221502,0.004365577034060302,0.004202199065770101,0.004045788107565901,0.0038959755076070014,0.0037525407985441015,0.0036151550989372014,0.0034834912337343015,0.003357293512588101,0.0032362491099692013,0.003120128242964001,0.003008726321024601,0.0029018274695175013,0.002799226404938701,0.002700767723335101,0.002606231686960901,0.002515439824147501,0.0024282108178422007,0.002344371168883501,0.002263774897325301,0.002186298048946201,0.002111798971919801,0.0020401652374411007,0.0019712663234711008,0.0019049662357143009,0.001841151837524001,0.001779731425931301,0.0017206111291650007,0.0016636820510301006,0.0016088572609782006,0.0015560548512234007,0.0015051968660993007,0.0014561941765439007,0.0014089900702296007,0.0013635272432398007,0.0013196992870927007,0.0012774556808802006,0.0012367200816758006,0.0011974328777808007,0.0011595613879431005,0.0011230198671223005,0.0010877686473817004,0.0010537547749827005,0.0010209220564945003,0.0009892202389278004,0.0009586073031858005,0.0009290470254768005,0.0009005033981129005,0.0008729375709857004,0.0008463077142967005,0.0008205840577023005,0.0007957314804326004,0.0007717120483208003,0.0007484902079460004,0.0007260391696813003,0.0007043345835114004,0.0006833409410100003,0.0006630363442334003,0.0006433954956497004,0.0006243953457869003,0.0006060111120872004,0.0005882206608592003,0.0005710101970632003,0.0005543537173160004,0.0005382386111459003,0.0005226368424024003,0.0005075289452247002,0.0004928978537110002,0.0004787268110755003,0.00046500065221830023,0.0004517070625147002
3,40.0,0.4501879936806107,0.3983385099794376,0.3553677042155825,0.3193467569620916,0.2887867253113013,0.2625958262994285,0.2399499871723248,0.22019055460162,0.2028260420084315,0.1874541612516489,0.173768892733362,0.1615187528138593,0.1504985631998502,0.1405446708548004,0.1315169178883774,0.123300509595328,0.1157956982972752,0.108920513333492,0.1026028014220672,0.0967790492477835,0.09139778432329,0.0864155120771582,0.0817932936651331,0.0774971006083644,0.0734969583199209,0.069766386538631,40.0,0.0662819716232084,0.0630227115989557,0.059970025454344,0.0571071129625246,0.0544189931734863,0.0518919491918669,0.0495140724737772,0.0472741393541513,0.0451618746900293,0.0431681410840878,0.0412846656106642,0.0395036265400722,0.0378181343685854,0.0362221241899295,0.0347095217930816,0.0332749006407659,0.0319134912751229,0.0306204049386615,0.0293915284992394,0.0282229164141557,0.0271109823845644,0.0260523821251478,0.0250441707687477,0.024083231849667,0.0231670857257004,0.0222932283864094,0.0214590686353326,0.0206624275469747,0.0199012855819296,0.019173769790208,0.0184783934907194,0.0178132871258139,0.0171767652554513,0.0165673819875512,0.0159837208959837,0.0154244160419965,0.0148883686155779,0.0143747030250543,0.0138820723024552,0.0134092723820179,0.0129553337376572,0.0125196194322253,0.0121010681880822,0.0116988969327537,0.0113123227469493,0.0109408788737743,0.0105837795378399,0.0102403430424665,0.0099098562764959,0.0095918727561628,0.0092858283407514,0.0089911968834101,0.0087074309882192,0.0084340025505961,0.0081707329309903,0.0079171136292331,0.0076726326189342,0.0074369632188511,0.0072095933727522,0.0069902148648133,0.0067785459245783,0.0065742633095995,0.0063770764078991,0.0061867928202148,0.0060030846370069,0.0058256741700788,0.005654275361212,0.0054886196374303,0.0053284858666855,0.0051737142089552,0.0050240720978503,0.0048794131444584,0.0047395288841881,0.0046041912411702,0.0044732266424854,0.0043465063314807,0.0042238885138935,0.0041051848035706,0.0039902535520938,0.0038789890594138,0.0037712679976663,0.0036669363335256,0.0035659402657925,0.0034682182880673,0.003373537099146,0.0032818283894959,0.0031929473499716,0.0031068014486634,0.0030233749629675,0.0029424719986114,0.0028640462779186,0.0027880056179275,0.0027142430262681,0.0026426663119478,0.0025732040771299,0.0025057986235857,0.0024403920920903,0.0023769184922526,0.0023153030351538,0.002255495639697,0.0021974376903207,0.0021410541839346,0.0020862825067469,0.0020330771352096,0.001981398282868,0.001931175636287,0.0018823738918843,0.0018349461694051,0.0017888467382641,0.0017440337614824,0.001700468501291,0.0016581314000264,0.0016169691089529,0.0015769737617903,0.0015380772570158,0.0015002403995344,0.0014634309239189,0.0014276174770195,0.0013927715452464,0.001358874913132
4,50.0,0.4984749327980008,0.4490054951837178,0.40750357818542,0.3723051042107694,0.3420934761795323,0.3159015881855272,0.2930020909729087,0.2727915310184222,0.2548317117985211,0.2387511555967169,0.2242756239295152,0.2111731830051285,0.1992555726642452,0.1883743884499974,0.1783985055620567,0.169221810006395,0.1607502959162993,0.1529073120620621,0.145624929939236,0.1388415119173414,0.1325084489078143,0.1265851628650276,0.1210345468026764,0.115824046140495,0.110924879159866,0.1063115015390152,50.0,0.1019612452475798,0.0978535821694807,0.0939703345014884,0.090294882530765,0.0868124152294063,0.0835091259737819,0.0803733253697027,0.0773935690792763,0.0745592367822807,0.0718610032148379,0.0692903699598696,0.0668391086566812,0.0645000615058738,0.0622671906378315,0.0601339034107111,0.0580943745000374,0.0561436305983677,0.0542760614754401,0.0524873500447593,0.0507732254010511,0.0491298007794719,0.0475533501819205,0.0460409067026037,0.0445887313223465,0.0431942212646518,0.0418544959561581,0.0405663553478074,0.0393273711377865,0.038135261335071,0.0369878733285109,0.0358837528286122,0.0348205826665954,0.0337961557574087,0.0328087292983657,0.0318567116232793,0.0309383017638909,0.0300523079657954,0.0291980554826131,0.0283735335267378,0.0275770724031097,0.0268074514091197,0.0260640381286368,0.0253453688406088,0.0246504398571892,0.0239782611053787,0.0233285090598728,0.0227000445738979,0.022091944124459,0.0215032076682541,0.0209334143589573,0.0203818255715773,0.0198476995243591,0.0193302531748017,0.0188287288524552,0.0183432368175836,0.0178729591498973,0.0174170396291865,0.0169751211831809,0.0165463259893236,0.0161302844949117,0.0157266437834652,0.01533489476973,0.0149546450537914,0.0145856896539282,0.0142275978498858,0.0138799071274063,0.013542165345631,0.0132139683100323,0.0128949913309705,0.012585082638154,0.0122838371914673,0.0119911049717648,0.0117065553949202,0.0114297985261861,0.0111605813056217,0.0108987397368781,0.0106440909243214,0.0103962897064401,0.0101551088499959,0.009920462757762,0.0096921429369143,0.0094698790604311,0.009253716488625,0.0090436587963987,0.0088391535904606,0.0086401332781227,0.008446302126611,0.0082575428647495,0.0080739552783616,0.007895047838797,0.0077208052552773,0.0075510764610191,0.0073856443482174,0.0072243405575911,0.0070670448565657,0.0069136674531215,0.0067641214791718,0.0066183017044511,0.0064760844584937,0.0063373839318457,0.0062021096084719,0.0060701137202064,0.0059412946549558,0.0058155783200083,0.0056929116524213,0.0055731532287617,0.0054562518775982,0.0053421221135372,0.0052306764745696,0.0051218515449717,0.0050155831431694,0.0049118454909164,0.0048105340426796,0.004711694981415,0.0046151522068261,0.0045208243958397,0.0044286529185632,0.0043385816246105,0.0042505598782811,0.0041645676998669
5,60.000000000000014,0.5614537489648684,0.5158709098367733,0.4771076408865388,0.443814855225604,0.4148821336700371,0.3894923760264227,0.3670397266909293,0.3469835594790112,0.3289559663334848,0.3126226872431838,0.2977526344889778,0.2841376264090193,0.2716126457973304,0.2600505007554366,0.24933258169256822,0.23936551707749362,0.2300634636262979,0.22135792273844582,0.2131881584699232,0.2054958367097423,0.19823737349502688,0.19137741687652038,0.1848825431386548,0.17872327402581467,0.17287359167490887,0.16731032659374448,60.000000000000014,0.1620129045609663,0.15696244844150478,0.1521423069409578,0.14753703780004737,0.1431329675047339,0.13891700143107727,0.13487872352479457,0.1310071136509852,0.1272917422906906,0.12372378212099229,0.12029509161548889,0.11699749491703518,0.11382409882637239,0.11076972251802068,0.10782748587564428,0.10499147101644478,0.10225702119280547,0.09961781623989517,0.09706971071537837,0.09460848186010017,0.09223031352347746,0.08993127469527457,0.08770917262575437,0.08555954642292597,0.08348009868136846,0.08146766898242797,0.07951824160829978,0.07762942710109647,0.07579895918153777,0.07402463639581668,0.07230563337289757,0.07063911998818806,0.06902194968412395,0.06745223631688385,0.06592863563442655,0.06444861089125105,0.06301127638198956,0.06161704269089845,0.06026252915720456,0.058945355621527556,0.05766409363096216,0.056418263875463955,0.05520596936617716,0.05402600221104706,0.052877214233451854,0.05175987210854785,0.05067235201749125,0.049613384774796945,0.04858162883900515,0.04757707487291025,0.04659888306587165,0.04564594456466195,0.04471717605262215,0.04381150601062605,0.04293015526066305,0.04207173382293665,0.041234649210962745,0.040418649679713044,0.03962216798373584,0.038844929307898644,0.03808663196410554,0.03734634404752634,0.03662359696166944,0.035918225265882245,0.03522997160374214,0.034557890110531245,0.03390130610184294,0.03325966294270984,0.03263251820532984,0.03201994624099884,0.031421161899844834,0.030836143687049938,0.030264377892454338,0.02970519377655084,0.029158258947222734,0.028623402803303336,0.028100554708116836,0.027589000193031434,0.027088390388969836,0.026598888679214033,0.026120063603437833,0.025651423101980833,0.02519351988395043,0.02474671435908983,0.024309568374721032,0.02388211651104553,0.02346366375638793,0.023054182393858633,0.02265428930761813,0.022262590292479532,0.021879254361672533,0.021504084440978826,0.021136565633878928,0.020776409899089528,0.020423421778469127,0.020077464699091427,0.019738419000824327,0.019406132007876227,0.019080433324929126,0.01876117600943933,0.01844824468810083,0.018141360822861923,0.017840388518374023,0.017545216378339223,0.017255814728121426,0.016971899553989325,0.016693413059675526,0.016420203173098523,0.016152122848062125,0.015889099784815626,0.015631036454567725,0.015377882828947023,0.015129467468653523,0.014886124031344122,0.014647350456133322,0.014412963145438723,0.014182864107767423,0.013956960860846222,0.013735171434811322,0.013517496966656021
6,70.0,0.6412644940377228,0.6017230956102896,0.5676248327751424,0.5379773408978986,0.5119040154203973,0.4887595943535671,0.4680841210758172,0.4494005101074242,0.4324319350758993,0.4168841823252052,0.4025823391892681,0.3893431490600649,0.3770325219141636,0.3655515475443033,0.3547968623563778,0.3446920205743719,0.3351612039375054,0.3261468665927471,0.317599036473785,0.3094639933342595,0.3017056293639348,0.2942965566274473,0.2872092851723442,0.2804193259184294,0.2739054216385786,0.2676486146364922,70.0,0.2616321767558285,0.2558404185750165,0.2502597100906232,0.2448771369308272,0.2396814715484741,0.2346614583991803,0.2298094997061975,0.225115936202991,0.2205713034141264,0.2161683447403676,0.2119001439959523,0.2077593005373978,0.2037400571703439,0.1998395038504285,0.1960507903131067,0.1923683484002876,0.1887887005792027,0.1853049894276987,0.1819138051073749,0.1786116427862089,0.1753954419986396,0.1722613524489774,0.1692099568069044,0.1662357394413176,0.1633375607779884,0.1605120990750398,0.1577540217752557,0.1550616344511204,0.1524333443028515,0.1498675747919974,0.1473656471228718,0.1449239867452978,0.1425373011120969,0.140204177698102,0.1379247406410762,0.1356947780655872,0.133514734943207,0.1313882447897677,0.1293090090216851,0.1272733475802162,0.1252797854630677,0.1233280444212423,0.1214160506022331,0.1195425371205267,0.1177063622763308,0.1159092114072995,0.1141488672365929,0.1124234835003753,0.1107314922864245,0.1090743899561622,0.1074515304541834,0.1058608626651724,0.1043010335492894,0.1027706294426294,0.1012742490768171,0.0998094135389179,0.0983727381041225,0.0969641608146283,0.0955809585971679,0.0942235284430179,0.092892105537449,0.0915844863521883,0.090300226993802,0.0890391575240647,0.0878026122590171,0.0865880289928369,0.0853945513492117,0.0842215469075142,0.0830684860248585,0.0819363827740001,0.0808235058226751,0.0797302849035719,0.07865593403588,0.0775993473617955,0.0765601552951691,0.0755381978017344,0.0745343015332453,0.073546715526482,0.0725749305091191,0.0716202527564501,0.0706814642670636,0.0697575811255132,0.068850848549805,0.0679629326898312,0.067090141592919,0.0662329856393389,0.065389545640612,0.0645603706101144,0.063748001137078,0.0629482020978904,0.0621617934899368,0.0613887402806734,0.0606275711535561,0.0598778947500149,0.0591394168694625,0.0584119370135953,0.0576952840728101,0.0569892626659811,0.0562937129048739,0.055608390771512,0.0549331933849845,0.0542676915197141,0.0536117788567372,0.0529653026017924,0.0523283339753439,0.0517003800961251,0.0510814233039555,0.0504712016753606,0.0498695345164684,0.049276412827747,0.0486917012511464,0.048115201081908,0.0475467594334946,0.0469878490904066,0.0464370074848277,0.045893753847424,0.0453579489151141,0.0448294624298803,0.0443081711148729,0.0437941362255273
7,80.0,0.7413761472758511,0.7110244161836424,0.6845373365549718,0.6613098584078076,0.6407200094758126,0.6223116273576496,0.6057920160184238,0.59073834732101,0.576990792250551,0.5642937071471905,0.5525446620817962,0.5415759300296951,0.5312953886409715,0.521643480371614,0.5125310326780804,0.503902468480526,0.4956918329586569,0.4878531723005768,0.4803512881586091,0.4731376323097025,0.4661858151871915,0.4594788187417266,0.4529974488089635,0.44672427208592,0.4406449077317959,0.4347465107886111,80.0,0.4290180471926946,0.423448599766726,0.4180291614252992,0.4127507812940573,0.4076060443682675,0.4025867452839438,0.3976897098125371,0.3929076487023162,0.3882330938061993,0.3836617131638402,0.3791888019322456,0.3748085452228974,0.370517451761385,0.3663169152646431,0.3622002474655502,0.3581625069784635,0.3542023068457509,0.3503128270108727,0.3464920635612259,0.3427381580723386,0.3390496435154976,0.3354229452538418,0.3318670399819183,0.3283730617605277,0.3249434569907308,0.3215744938967232,0.3182575027158377,0.3149925833008856,0.3117797178384347,0.3086195667291328,0.3055199739149771,0.3024760975505775,0.2994763727284282,0.2965221431101968,0.293619432720537,0.2907575682765017,0.2879399710774995,0.2851773322276505,0.2824587246254511,0.2797773272600041,0.27713189163284,0.2745217707716958,0.2719456955635992,0.2694027088593901,0.2668919216326677,0.2644168469244772,0.2619750335530745,0.2595637046451899,0.257181798214062,0.2548351485184773,0.2525240275940809,0.2502430007934043,0.2479908122027425,0.2457663348500736,0.243585082859833,0.2414414006757314,0.2393265578310752,0.237239561016084,0.2351764754975702,0.2331406540815296,0.2311348049221188,0.2291516804804402,0.2271909724916215,0.2252518472085624,0.2233442394172793,0.2214583080535672,0.2195933342756988,0.2177489199941374,0.2159245467443871,0.214123641404156,0.2123423838823123,0.210581724200333,0.2088406282429794,0.2071178442259407,0.2054130466205254,0.2037258897727951,0.2020608494469688,0.2004131013950036,0.1987818972563297,0.1971739462701561,0.1955844213025141,0.1940105741467361,0.1924586982298443,0.1909347132527647,0.1894303299379512,0.1879472423159064,0.1864796852348666,0.1850303214977341,0.1836100479141313,0.1822041006828179,0.180814683574343,0.1794431556956707,0.1780849654085386,0.176740031602408,0.1754079443293635,0.1740884218033624,0.1727811379556339,0.1714858133370085,0.1702024231831471,0.1689306366633232,0.1676703680363749,0.1664212907824088,0.1651835572186201,0.1639569436981384,0.1627415523272714,0.1615369023435104,0.1603431779478947,0.1591599044115275,0.1579870468424603,0.1568249150533987,0.1556733077521991,0.1545312841944625,0.1533992068690832,0.1522828572024633,0.1511778018206474,0.1500824227924088,0.1489965763462897,0.147920121037765,0.1468528308555813,0.1457947633238497
8,90.0,0.864687559306182,0.8477218229796841,0.8329165479230451,0.8200600700831628,0.8088155078227567,0.7989089128519734,0.7901860904942386,0.7822868332621715,0.7751528122197566,0.7685972619113488,0.7625824005273671,0.756974616775558,0.7517285635303311,0.7468219370250411,0.7421936239228908,0.7378113706607141,0.7336331116182911,0.7296304774541142,0.7257835897934753,0.7220551775091637,0.7184315839690952,0.7149058299129425,0.7114690097587613,0.7081125781655665,0.7048301250588482,0.701615850493672,90.0,0.6984652169446096,0.695372925534081,0.6923352918282835,0.689348079777015,0.6864082221061284,0.6835113308885766,0.680658254323146,0.6778443420610764,0.6750657720926365,0.6723216970761579,0.6696100924325549,0.6669273669902862,0.6642727897129375,0.6616494011368811,0.6590528417462012,0.6564798733305097,0.65393106526354,0.6514011202931987,0.6488896399793186,0.6463967889499735,0.6439227621308958,0.6414644315003751,0.6390338796894875,0.6366234853522272,0.6342368985397874,0.6318703312409574,0.6295158860256309,0.6271757953463675,0.6248513316420411,0.6225436874241157,0.6202642625028814,0.6180108739504937,0.6157676742107925,0.6135386478728978,0.6113341310462777,0.6091401904210437,0.6069613416142733,0.6048105636662826,0.602678001083709,0.6005557964945517,0.5984431434269015,0.5963377808901933,0.5942406696256313,0.5921515783901917,0.5900699857236376,0.5879987252840816,0.5859367123457475,0.583880628097156,0.5818312845377462,0.5797974982707472,0.5777802247335713,0.5757710973959357,0.5737697639696626,0.5717773584823661,0.5698208692581704,0.5678895462442068,0.5659699612139485,0.5640595805167483,0.5621553473925048,0.5602646041827327,0.5583935571015624,0.5565281423698026,0.5546680182579335,0.5528100910213263,0.5509805907427753,0.549157007050011,0.5473395486835115,0.5455285561174692,0.5437236274312626,0.5419295330006482,0.5401413352427351,0.5383588023285256,0.5365815332679382,0.5348098532984218,0.5330435002844671,0.5312812945325097,0.529532260905522,0.5277885931089021,0.5260495439691392,0.524331624344366,0.5226231858020549,0.5209185640790843,0.5192261736035721,0.517557143042586,0.5159014092758782,0.5142607364931551,0.5126252802013881,0.511001107863226,0.5094174751339555,0.5078392165801169,0.5062687274893822,0.504710504821376,0.503155684918026,0.5016057413984591,0.500060098143858,0.4985183500672255,0.4969797127136127,0.4954435783952087,0.4939101523289721,0.4923791140810476,0.4908501107342368,0.489323779353159,0.4878010049751483,0.4862813235417308,0.4847640520804164,0.4832498171826027,0.4817393970528535,0.4802318335535934,0.4787276561916354,0.4772280624031203,0.475732646744023,0.4742381261230309,0.4727465391095601,0.4712717274902009,0.4698047606392507,0.4683415804644223,0.4668821171950836,0.4654262532301979,0.4639733673874201,0.4625229737498788
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
